id,age,stimuli,reaction,pause,post-stimulus
Tvir_19_003,2,pt-low,1000,1,-1000
Tvir_19_003,2,control,820,237,-95
Tvir_19_003,2,silence,NA,1,NA
Tvir_19_003,2,pt_moderate,883,388,346
Tvir_19_003,2,pt-low,422,345,-195
Tvir_19_003,2,control,90,196,-677
Tvir_19_003,2,pt-high,89,773,141
Tvir_19_003,2,pt_moderate,534,416,27
Tvir_19_003,2,silence,NA,1,NA
Tvir_19_003,2,pt-very-low,1000,1,-1000
Tvir_19_003,2,pt_moderate,74,537,-318
Tvir_19_003,2,pt-very-low,1000,1,-1000
Tvir_19_003,2,pt-low,394,283,-219
Tvir_19_003,2,control,478,265,-196
Tvir_19_003,2,pt-high,58,432,-470
Tvir_19_003,2,silence,NA,1,NA
Tvir_19_003,2,pt-very-low,1000,1,-1000
Tvir_19_003,2,pt-high,322,734,100
Tvir_19_003,2,control,1000,0,-1000
Tvir_19_003,2,pt-high,60,443,201
Tvir_19_008,2,pt-low,51,159,-521
Tvir_19_008,2,control,57,293,-478
Tvir_19_008,2,silence,NA,1,NA
Tvir_19_008,2,pt_moderate,196,509,109
Tvir_19_008,2,pt-low,1000,1,-1000
Tvir_19_008,2,control,482,292,-185
Tvir_19_008,2,pt-high,54,783,87
Tvir_19_008,2,pt_moderate,66,170,725
Tvir_19_008,2,silence,NA,1,NA
Tvir_19_008,2,pt-very-low,53,204,669
Tvir_19_008,2,pt_moderate,194,106,837
Tvir_19_008,2,pt-very-low,1000,1,-1000
Tvir_19_008,2,pt-low,1000,1,-1000
Tvir_19_008,2,control,53,264,-642
Tvir_19_008,2,pt-high,53,303,-439
Tvir_19_008,2,silence,NA,475,NA
Tvir_19_008,2,pt-very-low,550,147,-196
Tvir_19_008,2,pt-high,51,437,92
Tvir_19_008,2,control,557,392,-41
Tvir_19_008,2,silence,NA,1,NA
Tvir_19_008,2,pt-high,50,749,-141
Tvir_19_008,2,pt-very-low,1000,1,-1000
Tvir_19_008,2,pt-low,1000,1,-1000
Tvir_19_008,2,pt_moderate,62,998,101
Tvir_19_012,2,pt-low,196,4447,3819
Tvir_19_012,2,pt-high,54,11718,10976
Tvir_19_012,2,pt_moderate,136,5616,4796
Tvir_19_012,2,pt-very-low,1000,1,-1000
Tvir_19_012,2,pt-very-low,273,177,-405
Tvir_19_012,2,pt_moderate,54,1127,226
Tvir_19_012,2,pt-low,197,431,160
Tvir_19_012,2,control,118,196,-116
Tvir_19_012,2,pt-high,124,6598,5752
Tvir_19_012,2,silence,NA,1,NA
Tvir_19_012,2,silence,NA,1,NA
Tvir_19_012,2,pt-high,50,1274,7299
Tvir_19_012,2,control,116,204,-343
Tvir_19_012,2,pt-high,51,18074,17272
Tvir_19_013,2,control,254,460,-182
Tvir_19_013,2,pt-very-low,1000,1,-1000
Tvir_19_013,2,pt_moderate,128,9667,8874
Tvir_19_013,2,silence,NA,1,NA
Tvir_19_013,2,pt-low,1000,1,-1000
Tvir_19_013,2,pt-very-low,1000,1,-1000
Tvir_19_013,2,control,377,475,77
Tvir_19_013,2,silence,NA,1,NA
Tvir_19_013,2,control,1000,1,-1000
Tvir_19_013,2,silence,NA,1,NA
Tvir_19_013,2,pt-low,123,859,23
Tvir_19_013,2,pt-high,131,5181,4346
Tvir_19_013,2,pt_moderate,131,21208,20379
Tvir_19_013,2,silence,NA,1,NA
Tvir_19_013,2,pt-very-low,1000,1,-1000
Tvir_19_013,2,control,59,295,-607
Tvir_19_013,2,pt-high,1000,1,-1000
Tvir_19_013,2,pt-low,1000,1,-1000
Tvir_19_013,2,pt-low,1000,1,-1000
Tvir_19_016,2,pt-low,58,198,-669
Tvir_19_016,2,control,290,164,-472
Tvir_19_016,2,silence,NA,1,NA
Tvir_19_016,2,pt_moderate,362,297,-270
Tvir_19_016,2,pt-low,1000,1,-1000
Tvir_19_016,2,control,429,219,-281
Tvir_19_016,2,pt-high,55,661,-105
Tvir_19_016,2,pt_moderate,428,360,-140
Tvir_19_016,2,silence,NA,99,NA
Tvir_19_016,2,pt-very-low,NA,NA,NA
Tvir_19_016,2,pt_moderate,128,523,-147
Tvir_19_016,2,pt-very-low,427,89,-249
Tvir_19_016,2,pt-low,625,3116,2041
Tvir_19_016,2,control,63,158,-703
Tvir_19_016,2,pt-high,58,1080,179
Tvir_19_016,2,silence,NA,84,NA
Tvir_19_016,2,pt-very-low,267,91,-472
Tvir_19_016,2,pt-high,59,367,-536
Tvir_19_016,2,control,204,215,-539
Tvir_19_016,2,silence,NA,1,NA
Tvir_19_016,2,pt-high,65,264,633
Tvir_19_016,2,pt-very-low,1000,1,-1000
Tvir_19_016,2,pt-low,556,100,-303
Tvir_19_016,2,pt_moderate,127,454,-180
Tvir_19_015,2,pt-low,138,82,-608
Tvir_19_015,2,control,64,282,14
Tvir_19_015,2,silence,NA,1,NA
Tvir_19_015,2,pt_moderate,296,794,129
Tvir_19_015,2,pt-low,1000,1,-1000
Tvir_19_015,2,control,59,302,-401
Tvir_19_015,2,pt-high,61,692,-212
Tvir_19_015,2,pt_moderate,95,362,-507
Tvir_19_015,2,silence,NA,1,NA
Tvir_19_015,2,pt-very-low,1000,1,-1000
Tvir_19_015,2,pt_moderate,53,1229,311
Tvir_19_015,2,pt-very-low,1000,1,-1000
Tvir_19_015,2,pt-low,56,166,-471
Tvir_19_015,2,control,358,227,-344
Tvir_19_015,2,pt-high,58,1150,515
Tvir_19_015,2,silence,NA,91,NA
Tvir_19_015,2,pt-very-low,348,180,-404
Tvir_19_015,2,pt-high,59,313,-359
Tvir_19_015,2,control,59,262,-475
Tvir_19_015,2,silence,NA,1,NA
Tvir_19_015,2,pt-high,73,279,-572
Tvir_19_015,2,pt-very-low,1000,1,-1000
Tvir_19_015,2,pt-low,353,164,-376
Tvir_19_015,2,pt_moderate,289,258,-414
Tvir_19_017,2,pt-low,463,5076,459
Tvir_19_017,2,control,347,848,259
Tvir_19_017,2,silence,NA,343,NA
Tvir_19_017,2,pt_moderate,600,10792,10452
Tvir_19_017,2,pt-low,421,831,324
Tvir_19_017,2,control,1000,1,-1000
Tvir_19_017,2,pt-high,322,4857,4210
Tvir_19_017,2,pt_moderate,297,893,256
Tvir_19_017,2,silence,NA,336,NA
Tvir_19_017,2,pt-very-low,203,128,-467
Tvir_19_017,2,pt_moderate,268,2860,2119
Tvir_19_017,2,pt-very-low,679,233,-55
Tvir_19_017,2,pt-low,125,568,-234
Tvir_19_017,2,control,419,641,128
Tvir_19_017,2,pt-high,66,2985,2085
Tvir_19_017,2,silence,NA,139,NA
Tvir_19_017,2,pt-very-low,1000,1,-1000
Tvir_19_017,2,pt-high,358,5459,4857
Tvir_19_017,2,control,556,236,-143
Tvir_19_017,2,silence,NA,161,NA
Tvir_19_017,2,pt-high,356,5481,
Tvir_19_017,2,pt-very-low,1000,1,-1000
Tvir_19_017,2,pt-low,507,1175,747
Tvir_19_017,2,pt-very-low,1000,1,-1000
Tvir_19_001,1,control,58,903,31
Tvir_19_001,1,silence,NA,1,NA
Tvir_19_001,1,pt-very-low,262,3641,3427
Tvir_19_001,1,pt-high,58,6791,6406
Tvir_19_001,1,pt_moderate,55,1715,1510
Tvir_19_001,1,pt-low,61,22304,21438
Tvir_19_001,1,pt_moderate,63,13037,12138
Tvir_19_001,1,silence,NA,1,NA
Tvir_19_001,1,control,49,503,-206
Tvir_19_001,1,pt-very-low,1000,1,-1000
Tvir_19_001,1,pt-low,55,501,
Tvir_19_001,1,pt-high,1000,1,-1000
Tvir_19_001,1,pt-low,193,23491,22763
Tvir_19_001,1,control,60,533,-370
Tvir_19_001,1,silence,NA,1,NA
Tvir_19_006,1,pt-low,51,349,427
Tvir_19_006,1,control,348,210,373
Tvir_19_006,1,silence,NA,1,NA
Tvir_19_006,1,pt-low,1000,1,-1000
Tvir_19_006,1,control,51,165,473
Tvir_19_006,1,pt-very-low,1000,1,-1000
Tvir_19_006,1,pt-high,426,530,29
Tvir_19_006,1,pt_moderate,695,169,-30
Tvir_19_006,1,silence,NA,1,NA
Tvir_19_006,1,pt-very-low,1000,1,-1000
Tvir_19_006,1,pt_moderate,68,465,-427
Tvir_19_006,1,pt-low,58,219,-649
Tvir_19_006,1,control,217,207,-504
Tvir_19_006,1,pt-high,65,369,-492
Tvir_19_006,1,silence,NA,1,NA
Tvir_19_006,1,pt-very-low,1000,1,-1000
Tvir_19_006,1,pt-high,52,379,-431
Tvir_19_006,1,control,52,204,-636
Tvir_19_006,1,silence,NA,1,NA
Tvir_19_006,1,pt-very-low,1000,1,-1000
Tvir_19_006,1,pt-low,576,233,-183
Tvir_19_006,1,pt-high,58,1788,773
Tvir_19_008,1,pt_moderate,82,25934,25011
Tvir_19_008,1,control,70,391,-456
Tvir_19_008,1,pt_moderate,72,7658,6796
Tvir_19_008,1,silence,NA,1,NA
Tvir_19_008,1,control,63,426,-539
Tvir_19_008,1,silence,NA,1,NA
Tvir_19_008,1,pt-low,79,5887,4644
Tvir_19_008,1,pt-high,70,4166,3316
Tvir_19_008,1,pt_moderate,65,1422,482
Tvir_19_008,1,pt-very-low,1000,1,-1000
Tvir_19_008,1,pt-very-low,1000,1,-1000
Tvir_19_008,1,pt_moderate,75,1287,406
Tvir_19_008,1,pt-low,65,1001,107
Tvir_19_008,1,control,63,234,-533
Tvir_19_008,1,pt-high,65,1176,316
Tvir_19_008,1,silence,NA,1,NA
Tvir_19_008,1,pt-very-low,1000,1,-1000
Tvir_19_008,1,pt-high,140,955,270
Tvir_19_008,1,control,57,402,401
Tvir_19_008,1,pt-high,67,1137,244
Tvir_19_008,1,silence,NA,1,NA
Tvir_19_008,1,pt-low,69,412,-444
Tvir_19_008,1,pt-very-low,1000,1,-1000
Tvir_19_008,1,pt_moderate,66,1087,293
Tvir_19_008,1,pt_moderate,74,1080,193
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Tvir_19_003,1,pt_moderate,498,1101,638
Tvir_19_003,1,silence,NA,1,NA
Tvir_19_003,1,pt-very-low,1000,1,-1000
Tvir_19_003,1,pt_moderate,731,509,347
Tvir_19_003,1,pt-very-low,1000,1,-1000
Tvir_19_003,1,pt-low,1000,1,-1000
Tvir_19_003,1,control,209,286,-435
Tvir_19_003,1,pt-high,68,919,56
Tvir_19_003,1,silence,NA,1,NA
Tvir_19_003,1,pt-very-low,1000,1,-1000
Tvir_19_003,1,pt-high,170,5239,4451
Tvir_19_003,1,control,522,237,-168
Tvir_19_003,1,pt-high,360,1006,508
Tvir_19_003,1,pt-very-low,1000,1,-1000
Tvir_19_003,1,pt-low,1000,1,-1000
Tvir_19_003,1,pt_moderate,439,604,243
Tvir_19_003,1,pt-low,927,294,358
Tvir_19_003,1,control,59,406,-192
Tvir_19_003,1,silence,NA,206,NA
Tvir_19_003,1,pt_moderate,992,194,260
Tvir_19_003,1,pt-low,1000,1,-1000
Tvir_19_003,1,control,133,258,-404
Tvir_19_003,1,pt-high,67,12583,11729
Tvir_19_009,1,silence,NA,815,NA
Tvir_19_009,1,pt_moderate,185,59434,58742
Tvir_19_009,1,pt-low,92,570,-265
Tvir_19_009,1,control,87,860,874
Tvir_19_009,1,pt-high,48,78495,77585
Tvir_19_009,1,pt_moderate,90,11334,10631
Tvir_19_009,1,silence,NA,512,NA
Tvir_19_009,1,silence,NA,313,NA
Tvir_19_009,1,pt-very-low,181,819,42
Tvir_19_009,1,silence,NA,425,NA
Tvir_19_009,1,pt_moderate,NA,NA,NA
Tvir_19_009,1,pt-low,NA,NA,NA
Tvir_19_009,1,control,84,1055,214
Tvir_19_009,1,pt-high,71,14862,13978
Tvir_19_009,1,pt_moderate,78,22883,21902
Tvir_19_012,1,pt-low,55,653,-217
Tvir_19_012,1,control,65,264,-631
Tvir_19_012,1,silence,NA,1,NA
Tvir_19_012,1,pt_moderate,58,18032,17527
Tvir_19_012,1,pt-low,128,965,234
Tvir_19_012,1,control,61,255,-610
Tvir_19_012,1,silence,NA,1,NA
Tvir_19_012,1,control,491,187,-280
Tvir_19_010,1,pt-very-low,1000,1,-1000
Tvir_19_010,1,pt-very-low,1000,1,-1000
Tvir_19_010,1,pt_moderate,59,5175,4336
Tvir_19_010,1,pt-high,48,1617,736
Tvir_19_010,1,pt_moderate,59,1034,359
Tvir_19_010,1,pt-low,130,928,329
Tvir_19_010,1,control,276,245,-209
Tvir_19_010,1,control,127,287,-515
Tvir_19_010,1,silence,NA,1,NA
Tvir_19_010,1,pt_moderate,288,2187,1518
Tvir_19_009,1,pt_moderate,115,11365,10140
Tvir_19_009,1,pt-high,68,21206,20265
Tvir_19_009,1,pt-very-low,789,685,517
Tvir_19_009,1,control,76,598,-223
Tvir_19_009,1,pt-high,88,6988,6137
Tvir_19_009,1,control,70,503,-324
Tvir_19_009,1,pt-low,84,3948,2960
Tvir_19_009,1,pt-low,184,7206,6552
Tvir_19_009,1,pt-very-low,1000,1,-1000
Tvir_19_009,1,pt_moderate,168,3388,2598
Tvir_19_009,1,pt-high,70,1091,302
